做了一个能让自己慢慢变勤劳有仪式感的钥匙支架 http://t.cn/A66qC3Rh ​​​,Thu Mar 10 18:00:01 +0800 2022,6589,790,446
这条龙太大啦我那个炉子有点小//@孙世前:期待[奥特曼]//@开水族馆的生物男:@手工耿 考虑下？//@碎叫://@忧郁的小火柴:火炬可以去手工耿那借炒菜那个炉子那家那个炒菜那个,Wed Feb 09 10:37:52 +0800 2022,666,79,502
[嘻嘻]祝大家新年快乐,Sun Jan 30 17:42:02 +0800 2022,1527,144,205
做了一个27000000毫安的超大巨型充电宝！#巨型充电宝# http://t.cn/A6i56IZP ​​​,Fri Jan 28 18:00:02 +0800 2022,91240,6173,5509
第二代卫生纸加热器#卫生纸加热炒锅# http://t.cn/A6JcZZg0 ​​​,Thu Jan 13 17:23:34 +0800 2022,5550,526,196
自制卫生纸加热炒锅 在寒冷的冬天给你带来贴心的温暖#卫生纸加热炒锅# http://t.cn/A6JAIMLT ​​​,Wed Jan 05 18:00:03 +0800 2022,13666,1404,591
自制老年人也能使用的安保巡逻机甲#手工耿的手工##自制机甲# http://t.cn/A6xsAsUo ​​​,Tue Dec 28 19:10:49 +0800 2021,33662,3231,6162
http://t.cn/A6xppMIa,Sun Dec 05 19:11:32 +0800 2021,1737,108,9
http://t.cn/A6xppAPB,Sun Dec 05 19:06:27 +0800 2021,689,39,3
来青岛还看了看海，还忍不住尝了尝味道 http://t.cn/A6x0WswS ​​​,Sun Dec 05 13:27:14 +0800 2021,2664,474,63
[嘻嘻]参加青岛红人节#超级红人节# ​​​,Sun Dec 05 11:45:39 +0800 2021,2290,210,41
放了一个电机，一个因音响和一个加湿器就可以了//@林果儿linguoer:找了好久才找到，耿哥，跟我说说你这里面啥设计啊，我也想搞一个。,Tue Nov 30 14:44:10 +0800 2021,1405,197,111
自制美梦枕头，可以设定自己的梦境#美梦枕头# http://t.cn/A6xXIWdp ​​​,Fri Nov 26 18:00:01 +0800 2021,7714,772,469
[并不简单]最新研究出来的高科技产品，大体的样子已经差不多了，如果有人猜出它是干什么的我倒立洗头！ ​​​,Tue Nov 23 13:58:13 +0800 2021,7491,1641,142
转发微博,Thu Nov 18 20:24:05 +0800 2021,2085,213,161
做了一个摇饮料的装置#电动摇饮料机# #手工耿的手工# http://t.cn/A6xt9nKf ​​​,Tue Nov 16 17:56:59 +0800 2021,6533,664,213
自制可以一边弹钢琴一边烤串一边移动的钢琴烤串车#手工耿的手工# http://t.cn/A6xUOcWT ​​​,Wed Nov 10 18:00:02 +0800 2021,284675,18418,48018
手工制作 用电动车做了一个开门器 http://t.cn/A6x7MjtF ​​​,Tue Nov 02 18:00:03 +0800 2021,15242,1388,429
[允悲],Tue Oct 26 19:57:54 +0800 2021,224,33,0
用不锈钢做了一个莫西干人头饰，可以自动喝饮料放一些糖果零食 http://t.cn/A6MEwoaT ​​​,Fri Oct 22 19:53:47 +0800 2021,5060,562,298
手工给华农兄弟做了一个轮椅除草机@淘特官博#手工耿华农兄弟梦幻联动# http://t.cn/A6M0H574 ​​​,Sat Oct 16 18:00:02 +0800 2021,27052,1419,1173
10月30日，我将在微博#超级红人节#人气stage跟大家见面，我给大家准备一些福利，速戳链接来领取粉丝票和我见面吧！票量有限，先到先得！（最终出票详情以大麦网票务短信为准）http://t.cn/A6MKIZIr  ​​​,Mon Oct 11 16:50:48 +0800 2021,511,62,14
2021#超级红人节# 10月30，我们青岛见哦～,Wed Sep 29 14:48:05 +0800 2021,216,31,4
自制户外麻将车 http://t.cn/A6M5K8kz ​​​,Mon Sep 27 18:00:05 +0800 2021,56848,5884,10763
手工制作不锈钢山羊角 http://t.cn/A6MvJayx ​​​,Mon Sep 13 17:24:40 +0800 2021,7755,858,421
手工制作涡轮增压马桶 http://t.cn/A6IBj1AR ​​​,Mon Sep 06 18:00:04 +0800 2021,20382,2269,2147
#郎朗跟手工耿撞造型#[笑cry]让我想到了这首克罗地亚打铁曲 http://t.cn/A6IHOofW ​​​,Sat Aug 28 10:57:39 +0800 2021,9298,482,689
用钢筋做了一对 邦邦的铁拳 http://t.cn/A6IlbUMS ​​​,Tue Aug 24 18:00:04 +0800 2021,8606,1479,774
#微博名人堂# #我的成长纪念# 我达成了百万粉丝成就，离不开你对我的支持http://t.cn/A6IivEdh ​​​,Sat Aug 14 17:28:10 +0800 2021,1366,96,6
[吃惊],Tue Aug 03 08:00:04 +0800 2021,351,58,6
红人节门票，拿来吧你！8月13/14/15日#超级红人节##倾倒式官宣#，抢票通道已开启，戳http://t.cn/A6fpCx1y，进入活动首页，就能抢票和我面基啦！8月14号我在青岛为你倾倒～能去的小伙伴踊跃评论哦~我在评论里揪三位送出红人节门票哦~ http://t.cn/A6fFS0Nf ​​​,Fri Jul 30 17:34:57 +0800 2021,321,84,9
[嘻嘻]过生日给自己买了一头猪，以后有我一口饭吃就有它一口💩吃 ​​​,Fri Jul 23 22:17:41 +0800 2021,5823,640,70
http://t.cn/A6fEHxaE,Thu Jul 22 05:47:09 +0800 2021,822,331,39
自制不锈钢游玩背包去游玩#手工耿的手工# http://t.cn/A6f8REb5 ​​​,Tue Jul 20 18:00:04 +0800 2021,6963,796,345
自制木人桩菠萝削皮器  http://t.cn/A6fKsnQj ​​​,Fri Jul 09 19:04:11 +0800 2021,11858,1106,600
猜一哈这是什么工具上的配件 http://t.cn/A6fxbLqL ​​​,Fri Jul 02 17:26:23 +0800 2021,1356,451,22
[嘻嘻]换了个手机壳 ​​​,Wed Jun 23 17:15:01 +0800 2021,3296,349,32
看看来自2050年的我制作的新物件，这玩意儿可老猛了！#我们2050见##和平精英重启未来# http://t.cn/A6fALJYh ​​​,Tue Jun 22 18:00:02 +0800 2021,2481,303,114
自制点火启动式火箭电脑机箱 http://t.cn/A6fZlgaz ​​​,Mon Jun 21 18:03:34 +0800 2021,24400,2292,3207
[嘻嘻]半个月的时间做了个电脑机箱。你们觉得会是什么样子的呢 ​​​,Fri Jun 18 13:43:24 +0800 2021,3418,568,34
工作室终于弄完了 http://t.cn/A6V6CRlx ​​​,Thu May 27 11:17:41 +0800 2021,8124,1025,358
自制《咳反应功夫灶》 http://t.cn/A6V5WmRt ​​​,Thu May 20 18:03:03 +0800 2021,30308,2893,5239
抱歉最近一直没有更新。一直都在整理新的工作室。下个月应该就能搬进去啦 http://t.cn/A6cnddym ​​​,Fri Apr 30 16:48:05 +0800 2021,5276,607,64
4月24日14:00—15:00，我在上海车展易车空间展台和你不见不散！,Wed Apr 21 19:00:12 +0800 2021,1593,238,89
现在去掉配乐了。[允悲]早知道到不这么麻烦了，我还卡了半天的点,Sat Apr 17 22:23:46 +0800 2021,3724,289,191
自制懒人洗碗餐桌#手工耿的手工# http://t.cn/A6cSdIim ​​​,Sat Apr 17 20:26:23 +0800 2021,30443,1970,1425
自制可以横着走的概念车  http://t.cn/A6cUvaAr ​​​,Sat Apr 03 19:05:53 +0800 2021,156463,11230,27247
用铁链做了个双截棍 http://t.cn/A6cvekWl ​​​,Fri Mar 26 15:38:52 +0800 2021,5308,571,134
白天刷不到，晚上躲不掉！大师抓鬼技术全揭密，哪有鬼，请喊我！[doge]#V光计划#  http://t.cn/A6tDwhFY ​​​,Mon Mar 22 13:29:36 +0800 2021,4944,739,880
用旧家具做了一个发球机 http://t.cn/A6tmT56w ​​​,Mon Mar 15 18:00:03 +0800 2021,15382,1677,900
自制夜行蹦迪灯笼 http://t.cn/A6tYrznG ​​​,Tue Mar 09 18:00:04 +0800 2021,21384,2723,3097
我租了一个厂房当工作室 http://t.cn/A6t0QdEk ​​​,Fri Mar 05 19:21:23 +0800 2021,11124,1130,250
#对话最高检#大家都说我是“发明界的泥石流”，其实我做的那些“无用之物”，就是想和大家分享我的创意，让大家看到原创的力量。嗨，检察机关在保护知识产权方面有什么金点子吗？@最高人民检察院 ​​​,Sat Feb 27 19:16:28 +0800 2021,2953,179,110
