发表时间,信息,用户名,内容,用到表情
04月01日22:32,来自MBTI超话,MBTI十六人格,MBTI#mbti#一分钟测试MBTI,[]
04月01日15:03,来自iPhone客户端,杨劳动,#mbti#来源：@MbtiTTisfj到底是什么样的人isfj的思维会更加着重于细节。常常因为某个小点陷入内耗。认为付出就会有回报，讲求公平。isfj这个群体很温柔，很在意别人的眼光，常常迁就别人，讨厌人际冲突，极少表达自己的感受、需求，其实isfj很少为自己活，都在想他人。但是尝尝遭到轻视，存在展开c,[]
04月01日16:51,,cpdd,#mbti#十六人格性格示意图,[]
04月01日14:47,来自iPhone客户端,美滋滋bot,#mbti#16人格,[]
5秒转赞人数超过100,来自iPhone11,MBTImemes,#mbtimeme##infp##istj#,[]
1分钟前来自iPhon,e客户端,是-Serendipity-呀,#mbti#enfp就是快乐修勾是我的真实写照了,['[开学季]']
2分钟前来自iQOON,eo3生而为赢,阮岚岚_xx,#mbti#,[]
2分钟前来自iPhon,e11,sJzScarlett,#mbti#拜托身边有我这样的enfp好友真的快乐好吗？我们简直就是快乐小狗,[]
4分钟前来自iPhon,e客户端,RLL-Miscedence,INFJ水瓶座#mbti#,[]
4分钟前来自iPhon,e客户端,青樾pig,#mbti#esfj真的很准了,['[失望]']
4分钟前来自iPhon,e客户端,石佳--Shorn,#mbti#测了一万遍都是ENTJ,['[二哈]']
5分钟前,,不易切蛋易切橙,ENTP真的天天都很想跟朋友们贩会儿剑#mbti#,['[开学季]']
7分钟前来自新版微博w,eibo.com,芬茝,#mbti#从疫情在家测的INFJ，变成去年年底的ISFJ，且S/N倾向不明显，推荐做300题测试，再到现在的ISFP。。。我深刻理解了人是会变的,[]
8分钟前来自HUAWE,IP30Pro,眼儿Yar,做了好几遍MBTI都是esfp，不想承认但是看到下面这些图好吧，是我是我还是我，天蝎座的esfp是什么神级矛盾体吖#mbti##esfp#,"['[苦涩]', '[苦涩]', '[苦涩]', '[苦涩]', '[苦涩]']"
8分钟前来自iPhon,e13Pro,怪物牛肚,我友的结果这是哪个四字母专家们快来看看#mbti#,['[怒]']
9分钟前转赞人数超过1,00来自iPhone11,MBTImemes,#mbtimeme##entj##enfp#,[]
9分钟前转赞人数超过1,400,娱乐圈有饭,#mbti#最近有没有看到一堆人在用奇奇怪怪的字母来刻画自己的性格大火的mbti测试，你测了吗,"['[doge]', '[送花花]']"
10分钟前来自iPho,ne客户端,xxxiguhhhht,IamENFJ-A#mbti##enfj#,"['[开学季]', '[开学季]']"
11分钟前来自iPho,ne12(黑色),LI_SuJung,infj#infj##mbtimeme#最近思考的问题就是如何爱别人？因为如果不给予爱如何收获爱呢？,[]
11分钟前来自一加9｜,哈苏影像,丹丹爱吃果丹皮呀,"#mbti#上课无聊，测了一下,我是intp",['[喵喵]']
11分钟前来自iPho,ne客户端,听说这只是一个昵称,#mbti#真是个彻彻底底的ENFP,[]
12分钟前转赞人数超过,80来自iPhone11,MBTImemes,#mbtimeme##istp#,[]
14分钟前来自iPho,ne客户端,Lu010911,#mbti#ESTP-A。就是说咱也太坚决了吧？,[]
14分钟前,,贝贝我真的跑不动了,我是真的真的特别不喜欢麻烦别人，但是别人麻烦我的时候，只要那个人我不讨厌我就会尽心尽力地帮助别人#人格测试##mbti#,[]
15分钟前来自HUAW,EIMate40,昼光与暗,今日份enfp&isfp饭搭分享#mbti#,['[赢牛奶]']
17分钟前转赞人数超过,20来自iPhone客户端,小田小田宇宙最甜X,#mbti#是谁在我身上装了监视器#intj#,[]
16分钟前来自iPho,ne11(紫色),庄嘉蕊,#MBTI##estj#我我一定可以做得更好2延边朝鲜族自治州,"['[泪]', '[揣手]']"
18分钟前转赞人数超过,100来自微博搜索,每天都有新实习,#mbti#做MBTI不仅仅是网上随便来几套题就结束了，市面上大多数的题还都是假的。正规的测试做完后，还要在评估师指导下来看那些准那些不准，然后做调整，还要看看是1个还是2个还是3个不准，然后再结合不准的数量再去调整，最后可能还要用二分法进一步确认，最后才能得出一个靠谱的结论。,[]
19分钟前转赞人数超过,700来自iPhone11,MBTImemes,#mbtimeme##intp#,[]
18分钟前来自iPho,ne客户端,蓝色星球跑到宇宙中,#mbti#我真的会谢INFP的双鱼,[]
19分钟前转赞人数超过,10来自nova7Pro你在焦点在,高个中的小短腿儿,#mbti#身边有我这种enfp人格的人是多么幸福的一件事呀！我们可是快乐的小#enfp#2哈尔滨,[]
19分钟前,,小秒针本珍吖_,#esfj##mbti#好像有那个社牛2临沂·临沂大学,['[doge]']
20分钟前来自iPho,ne客户端,彼得螺蛳,#mbti#infg-T,[]
20分钟前来自HUAW,EIP405G,奶nei十三,#mbti#算了不挣扎了就entj吧总觉得别家entj都好优秀而我根本不是这样于是搜罗各种不同链接测试八维也测怎么全是entju1s1浪费的时间真的多再也不在这种事上浪费时间了无聊有这时间不如去过剧情,"['[失望]', '[汗]']"
23分钟前转赞人数超过,10,可乐不快乐了,#mbti#是我！,[]
22分钟前来自iPho,ne客户端,坚强美少吕,#mbti#esfp,"['[思考]', '[思考]', '[思考]']"
23分钟前转赞人数超过,300来自iPhone11,MBTImemes,#mbtimeme##entp##enfp##intp##infp##entj#,[]
23分钟前来自iPho,ne客户端,寒号_ChenW,花了一年多完成了性格大转变越来越外向迟早变社牛#mbti#,[]
26分钟前来自iPho,ne客户端,Be_Claire,呵，是本水瓶女孩无误了#mbti#,[]
27分钟前来自iPho,ne客户端,王秀花的微博,前段时间测的，不知道准不准。#mbti#,[]
29分钟前转赞人数超过,1600来自iPhone11,MBTImemes,#mbtimeme##infp#,[]
30分钟前来自iPad,air,_微澜_202001,忘了可以换成简中，最近看过的最长的英文文章了。。。还是挺准的。本性一条，可以看出我在逻辑和感性之间有多么拉扯了。必须要有逻辑作为底色的感性才算有价值的感性#mbti#,"['[doge]', '[开学季]']"
31分钟前来自Harm,onyOS设备,KendallLeaf,MBTI#mbti#INTJintp#mbtimeme#有些时候，看见自己摆烂的样子，我开始陷入自我怀疑，我可能不是一个intj，我是intp吧。。。。2成都,[]
32分钟前来自Andr,oid,芹菜牛肉饺,#mbti#诶嘿,[]
34分钟前来自iPho,ne12,与亭岁岁年年,#mbti#谁能拒绝一个充满活力的快乐小狗呢,['[怒]']
35分钟前来自iPho,ne13,不找月亮了,#mbtimeme##enfj#确实,[]
36分钟前转赞人数超过,100来自iPhone11,MBTImemes,#mbtimeme##entp##estp##infj##enfp#,[]
38分钟前来自iPho,ne客户端,你的咩崽,#mbti#我以为我会是ISFJ,[]
41分钟前,,语后的你,原来是你小老头#mbti#,[]
43分钟前来自OneP,lus7T,张皓同学,#mbti#好像还行2河津市,[]
45分钟前转赞人数超过,900来自iPhone13,sugar胡苏苏,#mbti#enfp快乐小狗集合不管什么版本什么题目测800遍都是enfp测试链接O网页链接,['[彩虹屁]']
46分钟前来自HUAW,EIMate20,陈皮炆腊肠hm,#mbti#ENTJ-A果然是我只不过我没有那么想做“指挥官”啦。,"['[报税]', '[报税]']"
46分钟前来自不香辣l,aiPhone13Pro,辣辣很乖,Emmmmmm#mbti#,['[感冒]']
47分钟前来自iPho,ne客户端,改了名字这样你们就不认识我啦,从三年前的intj变成了现在的entj#mbti#真就把我近一年的各种事件完美cover了,[]
47分钟前来自Andr,oid,私藏de小宇宙,#mbti#觉得自己是大冤种的人格,['[裂开]']
48分钟前来自可愛いi,Phone12,YeHyun_,#mbti#本enfj大写实外加如愿的找到了infp男友,['[送花花]']
48分钟前来自HUAW,EIP30,晴天有气球,#mbti#好准,[]
52分钟前转赞人数超过,200来自iPhone11,MBTImemes,#mbtimeme##enfp#,[]
52分钟前来自HUAW,EIMate305G,吃桐锣烧会晕车,#mbti#怎么真的会有人I是百分之百啊我看着我的I占比慢慢越来越多，终于在今天它变成了100％我是该哭还是该笑,"['[裂开]', '[裂开]']"
54分钟前转赞人数超过,300来自微博视频号,是雯雯老师啊,#infp#你是INFP型人格吗，他们是什么样的人？#知识视频咖##mbti##泛听磨耳朵#L是雯雯老师啊的微博视频,[]
53分钟前来自Redm,iK40,是孝慈不是消磁,#mbti#嘎,[]
56分钟前转赞人数超过,1600来自iPhone客户端,小帆啵啵,测试完后刷了n多表情包逐渐接受自己是ESFP的事实啊哈哈哈哈哈哈哈哈#mbtimeme#esfp表演型人格#esfp#2青岛,[]
59分钟前转赞人数超过,30来自iPhone13,不限日落,#mbti#intp简单来说就是颅内吵架嘴永远跟不上脑子表达能力奇差且超级难以共情但为了不想让别人发现自己冷血于是在内心编造了一套专属模版来应对非常需要自己不被打扰的时间畅游别人无法理解的精神世界并搞点薯条收获双倍快乐喜欢黑色幽默地狱笑话拖延摆烂第一人ddl战士,[]
59分钟前来自OPPO,RenoZ,-奶油小泡芙,#mbti#哈哈哈哈哈哈哈我是#esfp#简称疯小孩2嘉兴,['[亲亲]']
59分钟前来自iPho,ne客户端,向日葵IDA-,#mbti#充满正能量的性格是没跑了,['[彩虹屁]']
60分钟前转赞人数超过,10来自Neo5活力版生而为赢,Lucky扭一妞,#mbti#蹲enfp和entp的宝贝！我是infjt射手,['[举手]']
今天14:57来自iP,hone客户端,东升村的希望,#mbti##mbti职业性格测试#哇哦这个测试很棒哦。我真的好适合管理、每日盘点总结时都很有成就感。油画非常不想画的说即使我知道每张收益都很不错2北京,"['[允悲]', '[二哈]', '[允悲]']"
今天14:56来自iP,hone客户端,商务会计杀我,#mbti#天呐我跟我妈妈的测试结果竟然一模一样，都是企业家，不愧是我妈亲生的,"['[嘻嘻]', '[嘻嘻]']"
今天14:56来自iP,hone13ProMax,陈美衿,有目标的estj：冲冲冲平时的estj：摆烂#mbti#,[]
今天14:51来自Ha,rmonyOS设备,咖喱牛肉3,#mbti#可不可以少出几道题，白羊座根本做不到最后诶,['[生病]']
今天14:49来自iP,hone客户端,小怡要努力生活呀,#mbti#测试结果infj，太对了，就是我本人，而我就是因为过度完美主义导致严重拖延症谁来救救我～,['[允悲]']
今天14:49来自iP,hone客户端,单手一个穾,……#mbti#2晋中,[]
今天14:47转赞人数,超过200来自OPPO超视野全面屏R15,梧桐树会开花的呀,#mbti##infjt#笑死，前两天一直测这个玩儿，今天就上热搜了哈哈哈哈哈，要命的INFJ-t就是我本人了，和柏拉图，mbti的创始人荣格，马丁路德金一样的人格……，overthinking的地狱级痴迷者，理想主义者和完美主义者的作死结合，被称为“博爱又冷漠，善良又恶毒，阴郁又阳光，理智又展开c,"['[微笑]', '[微笑]', '[微笑]']"
今天14:47来自iP,hone客户端,AshislandM_,#mbti#intj/intp,['[思考]']
今天14:46来自An,droid,xiaolmz,#mbti#看了阿油测后说真的巨有效果于是乎我也去了…然后的然后，打开新世界怎么会这么准,[]
今天14:46转赞人数,超过1000来自微博视频号,酒酿熊子,我真的会笑。。刚看完李承铉发在的#mbti#测试里面有个问题是：如果有人没有迅速回你的消息你会担心自己是不是刚刚说错了话”铉哥（斩钉截铁）：不会。（突然意识到什么）：除非是戚哥…！还有个问题：你希望自己的小孩成为善良的人而不是聪明的人。铉哥：我希望她是善良的。（思考）等一下，展开c,[]
今天14:45来自iP,hone客户端,xxrro_,刻板印象不就是拿来玩的吗#mbti#,[]
今天14:45来自吴磊,女友Android,三石的小姑娘,#mbti##isfp#在百度上搜了任务特征其实还是蛮准的,['[哆啦A梦吃惊]']
今天14:43来自iP,hone客户端,七一安,惊呆我的ESTP和成崽的ISFJ不仅是MBTI的官配竟然连细节都非常符合#mbti##isfj##estp#,[]
今天14:42转赞人数,超过8400,MbtiTT,#mbti#isfj,[]
今天14:41来自HU,AWEIMate305G,非限定小彭,关于我测了三遍都是infp这件事MBTI#mbti##infp#,['[苦涩]']
今天14:39来自HU,AWEIP40Pro5G,小涵不憨hanna,esfp小时候做的丢脸事真的是现在回忆起还能尴尬死的程度关于死去的回忆突然开始攻击我这件事#mbti#,"['[苦涩]', '[苦涩]', '[苦涩]', '[顶]', '[顶]', '[顶]']"
今天14:39转赞人数,超过2200,皇后,一个简单改良版的MBTI测试可以在五秒钟就能测出你是哪种人格，测法：把每个选项括弧里的字母组合在一起你测出了什么结果？#MBTI#,[]
今天14:37来自iP,hone13,一只胖涵呐,#mbti#再测一次还是ISFJ纯纯大怨种,['[苦涩]']
今天14:37来自iP,hone客户端,Amanda-YXY,#mbti#ENFJ,[]
今天14:36转赞人数,超过70来自iPhone11,金领先森,#mbti#十六人格示意图，其实每个人都是独一无二的,[]
今天14:35来自iP,hone12(Green),Sryovo,#mbti#好奇hyq的mbti都是什么,['[开学季]']
今天14:35来自霸总,的iPhone13,小陈早日上市啊,这几天突然刷到很多mbti的测试，我只想说mbti很久以前在我眼中便是一个很无厘头的东西，把它过分符号化更是滑稽。首先，不否认它是一个帮助大多数人去尽可能全面了解自己的科学心理测试，但是依赖程度和追捧程度又上升到跟星座一样就让人无语了。二者盛行的共通之处不外乎于人类的本质是缺乏自我内展开c,[]
今天14:34来自iP,hone客户端,我有锦瑟九百弦,#mbti#本人：放松/摆烂时：Entp吃喝玩乐时：Estp做（重要/紧急）事情时：Estj,[]
今天14:33转赞人数,超过1200来自随意取关iPhone12,doge扫文日记,#mbti#Enfp集合了……好像真的有点准（图源网络）,['[单身狗]']
今天14:32来自iP,hone客户端,大朋友biubiubiu,#mbti#INFP-T,[]
今天14:32来自iP,hone客户端,超现实幸运小狗,#mbtimeme##isfj#一些冤种日记了,[]
今天14:31来自iP,hone客户端,别再犯蠢了,#mbti#itstrue,['[单身狗]']
今天14:30来自荣耀,V30PRO5G,_迪士尼在逃帅哥,最容易emo最幼稚最善良的快乐修狗就是本enfp#mbti#,[]
